id,Name,Address,Location,Postal_code,Starred
184,"Laguardia Park Food Cart","Madison Street, near playground","New York",NULL,FALSE
185,"East River Park Food Cart","East River Park, Near Tennis Courts","New York",NULL,FALSE
186,"East River Park Food Cart","East River Park","New York",NULL,FALSE
187,"Wald Playground Food Cart","Wald Playground","New York",NULL,FALSE
188,"Inwood Hill Food Cart","Southern Soccer Field","New York",NULL,FALSE
189,"Inwood Hill Food Cart","Isham Street Entrance to Park","New York",NULL,FALSE
190,"John Jay Park Food Cart","John Jay Park","New York",NULL,FALSE
191,"Riverside Park Food Cart","West 109 Street and Riverside Park","New York",NULL,FALSE
192,"Riverside Park Food Cart","West 148 Street Near the Playground","New York",NULL,FALSE
193,"Washington Square Park Food Cart","Washington Square Park near Fountain","New York",NULL,FALSE
194,"Junction Playground Food Cart","Junction Playground","New York",NULL,FALSE
195,"Columbus Square Food Cart","Columbus Square","New York",NULL,FALSE
196,"Travers Park Food Cart","Travers Park","New York",NULL,FALSE
197,"PS 149 Playground Food Cart","Northern Playground","New York",NULL,FALSE
198,"Corona Golf Playground Food Cart","Corona Golf Playground","New York",NULL,FALSE
199,"Bloomingdale Park Food Cart","Bloomingdale Park","New York",NULL,FALSE
200,"Tompkinsville Square Food Cart","Tomkins Square Park","New York",NULL,FALSE
201,"Clove Lakes Park Food Cart","Clove Lakes Park","New York",NULL,FALSE
202,"Starlight Park Food Cart","Starlight Park","New York",NULL,FALSE
203,"J Rodman Drake Park Food Cart","Joseph Rodman Drake Park","New York",NULL,FALSE
204,"River Park Food Cart","River Park Boston Road and 180 Street","New York",NULL,FALSE
205,"New Leaf Cafe","1 Margaret Corbin Drive","New York",NULL,FALSE
206,"Van Cortlandt Park Food Cart","Off Mansion Road","New York",NULL,FALSE
207,"West 79th Street Boat Basin Cafe","Rotunda at the West 79 Street Marina","New York",NULL,FALSE
208,"Frank O'Connor Park Food Cart","Frank O'Connor Playground","New York",NULL,FALSE
209,"Seth Low Park Mobile Food Truck","Between Bay Parkway & Avenue P","New York",NULL,FALSE
210,"J.J. Byrne Memorial Park Mobile Food Truck","4th Avenue to 5th Avenue, between 3rd Street & 5th Street","New York",NULL,FALSE
211,"Red Hook Recreation Center Mobile Food Truck","Bay Street between Henry & Clinton streets","New York",NULL,FALSE
212,"Colonel Markus Playground Mobile Food Truck","5th Street entrance off of Avenue and Ocean Park","New York",NULL,FALSE
213,"G. Garibaldo Playground Trucks","18th Avenue and 82nd Street","New York",NULL,FALSE
214,"Brooklyn Queens Expressway Mobile Food Truck","corner of Columbia Terrace & Montague Street","New York",NULL,FALSE
215,"William E. Kelly Park Mobile Food Truck","Avenue S between East 14th & East 16th streets","New York",NULL,FALSE
216,"Jackie Robinson Park Mobile Food Truck","Bradhurst Avenue between West 145 & West 155 streets","New York",NULL,FALSE
